360,0.17556,0.00529,0.81915
361,0.17548,0.00529,0.81923
362,0.17540,0.00528,0.81932
363,0.17532,0.00527,0.81941
364,0.17524,0.00526,0.81950
365,0.17516,0.00526,0.81958
366,0.17509,0.00525,0.81966
367,0.17501,0.00524,0.81975
368,0.17494,0.00523,0.81983
369,0.17488,0.00522,0.81990
370,0.17482,0.00522,0.81996
371,0.17477,0.00523,0.82000
372,0.17472,0.00524,0.82004
373,0.17466,0.00524,0.82010
374,0.17459,0.00522,0.82019
375,0.17451,0.00518,0.82031
376,0.17441,0.00513,0.82046
377,0.17431,0.00507,0.82062
378,0.17422,0.00502,0.82076
379,0.17416,0.00498,0.82086
380,0.17411,0.00496,0.82093
381,0.17409,0.00496,0.82095
382,0.17407,0.00497,0.82096
383,0.17406,0.00498,0.82096
384,0.17404,0.00498,0.82098
385,0.17401,0.00498,0.82101
386,0.17397,0.00497,0.82106
387,0.17393,0.00494,0.82113
388,0.17389,0.00493,0.82118
389,0.17384,0.00492,0.82124
390,0.17380,0.00492,0.82128
391,0.17376,0.00492,0.82132
392,0.17370,0.00494,0.82136
393,0.17366,0.00494,0.82140
394,0.17361,0.00494,0.82145
395,0.17356,0.00492,0.82152
396,0.17351,0.00490,0.82159
397,0.17347,0.00486,0.82167
398,0.17342,0.00484,0.82174
399,0.17338,0.00481,0.82181
400,0.17334,0.00480,0.82186
401,0.17329,0.00479,0.82192
402,0.17324,0.00478,0.82198
403,0.17317,0.00478,0.82205
404,0.17310,0.00477,0.82213
405,0.17302,0.00478,0.82220
406,0.17293,0.00478,0.82229
407,0.17284,0.00479,0.82237
408,0.17275,0.00480,0.82245
409,0.17266,0.00480,0.82254
410,0.17258,0.00480,0.82262
411,0.17249,0.00480,0.82271
412,0.17239,0.00480,0.82281
413,0.17230,0.00480,0.82290
414,0.17219,0.00482,0.82299
415,0.17209,0.00483,0.82308
416,0.17198,0.00486,0.82316
417,0.17187,0.00489,0.82324
418,0.17174,0.00494,0.82332
419,0.17159,0.00501,0.82340
420,0.17141,0.00510,0.82349
421,0.17121,0.00521,0.82358
422,0.17099,0.00533,0.82368
423,0.17077,0.00547,0.82376
424,0.17054,0.00562,0.82384
425,0.17030,0.00579,0.82391
426,0.17005,0.00597,0.82398
427,0.16978,0.00618,0.82404
428,0.16950,0.00640,0.82410
429,0.16920,0.00664,0.82416
430,0.16888,0.00690,0.82422
431,0.16853,0.00718,0.82429
432,0.16815,0.00749,0.82436
433,0.16775,0.00782,0.82443
434,0.16733,0.00817,0.82450
435,0.16690,0.00855,0.82455
436,0.16645,0.00896,0.82459
437,0.16598,0.00940,0.82462
438,0.16548,0.00987,0.82465
439,0.16496,0.01035,0.82469
440,0.16441,0.01086,0.82473
441,0.16383,0.01138,0.82479
442,0.16321,0.01194,0.82485
443,0.16255,0.01252,0.82493
444,0.16185,0.01314,0.82501
445,0.16111,0.01379,0.82510
446,0.16031,0.01449,0.82520
447,0.15947,0.01523,0.82530
448,0.15857,0.01602,0.82541
449,0.15763,0.01684,0.82553
450,0.15664,0.01771,0.82565
451,0.15560,0.01861,0.82579
452,0.15452,0.01956,0.82592
453,0.15340,0.02055,0.82605
454,0.15222,0.02161,0.82617
455,0.15099,0.02274,0.82627
456,0.14969,0.02395,0.82636
457,0.14834,0.02525,0.82641
458,0.14693,0.02663,0.82644
459,0.14547,0.02812,0.82641
460,0.14396,0.02970,0.82634
461,0.14241,0.03139,0.82620
462,0.14080,0.03321,0.82599
463,0.13912,0.03520,0.82568
464,0.13737,0.03740,0.82523
465,0.13550,0.03988,0.82462
466,0.13351,0.04269,0.82380
467,0.13137,0.04588,0.82275
468,0.12909,0.04945,0.82146
469,0.12666,0.05343,0.81991
470,0.12412,0.05780,0.81808
471,0.12147,0.06259,0.81594
472,0.11870,0.06783,0.81347
473,0.11581,0.07358,0.81061
474,0.11278,0.07989,0.80733
475,0.10960,0.08684,0.80356
476,0.10626,0.09449,0.79925
477,0.10278,0.10286,0.79436
478,0.09913,0.11201,0.78886
479,0.09531,0.12194,0.78275
480,0.09129,0.13270,0.77601
